SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
31004129905,45,1380,652,320,1647,0.8,1508,2.7
31004129906,35,1411,719,309,1671,0.8,1474,2.8
31004129907,31,1600,788,350,1892,0.9,1924,3.5
31004129908,29,1565,854,350,1944,0.8,1656,3
31004129909,33,1517,890,340,2178,0.8,2090,3.2
31004129910,39,1625,804,360,2233,0.8,2205,3
31004129911,33,1517,805,350,2089,0.8,1850,3.3
31004129912,39,1715,893,315,2289,0.8,2261,2.9
31004129915,27,1432,768,355,1908,0.9,1949,3.4
31004129916,29,1517,876,355,1982,0.8,1978,3.4
31004129918,0,0,0,0,0,0,0,0
31004129919,0,0,0,0,0,0,0,0
31004129920,51,0,875,140,2749,0.8,949,1.7
31004129921,34,1146,623,285,1218,0.8,1047,2.4
31004129922,38,1164,634,283,1286,0.8,1192,2.3
31004129923,41,1376,669,300,1437,0.8,1216,2.2
31004129924,35,1408,785,325,2016,0.8,1774,2.8
31004129925,26,1593,782,348,1930,0.9,2007,3.5
31004129926,27,1430,737,350,1652,0.9,1682,3.6
31004129927,26,2383,913,0,2583,0.9,2625,3.9
31004129928,25,1820,786,350,1614,0.9,1422,2.9
31004129929,27,1771,865,320,1720,0.9,1508,2.8
31004129930,26,1983,866,330,1825,0.9,1597,2.8
31004129931,25,1717,919,380,2285,0.9,2345,3.7
31004129932,26,1733,816,370,1919,0.9,1962,3.7
31004129933,28,1883,958,370,2186,0.8,2062,3
31004129934,78,1051,490,250,854,0.6,627,1.3
31004130001,41,1000,653,290,1531,0.8,1093,2
31004130002,37,1408,683,288,1708,0.8,1424,2.6
31004130003,43,1207,503,250,1215,0.9,905,2.3
31004130004,26,1383,693,350,1525,0.9,1682,3.5
31004130005,32,1500,694,350,1562,0.8,1465,3.1
31004130006,53,1083,534,290,1140,0.7,804,1.9
31004130007,39,1200,626,330,1578,0.9,1412,3
31004130008,28,1560,770,360,1744,0.9,1706,3.3
