route_id	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
212-3396	BT 23_24-35208	26581516-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		2120006
230-3396	BT 23_24-35208	26581517-BT 23_24-35208	"Fortitude Valley, Brunswick St"	0		2300015
227-3396	BT 23_24-35208	26581518-BT 23_24-35208	"City, Edward St"	0		2270003
346-3396	BT 23_24-35208	26581519-BT 23_24-35208	Elizabeth Street Stop 87 near Edward St	0		3460031
113-3396	BT 23_24-35208	26581520-BT 23_24-35208	"City, Eagle St at Riverside"	0		1130012
444-3396	BT 23_24-35208	26581521-BT 23_24-35208	Queensland Theatre	0		4440024
590-3396	BT 23_24-35208	26581522-BT 23_24-35208	Toombul Interchange	0		5900004
599-3396	BT 23_24-35208	26581523-BT 23_24-35208	Chermside Interchange	0		5990014
172-3396	BT 23_24-35208	26581524-BT 23_24-35208	"City, Eagle St at Riverside"	0		1720011
598-3396	BT 23_24-35208	26581525-BT 23_24-35208	Chermside Interchange	1		5980012
200-3396	BT 23_24-35208	26581526-BT 23_24-35208	Queen Street station	0		2000004
204-3396	BT 23_24-35208	26581527-BT 23_24-35208	"Carina, Clem Jones Centre"	1		2040630
340-3396	BT 23_24-35208	26581528-BT 23_24-35208	Woolloongabba station	0		3400007
599-3396	BT 23_24-35208	26581529-BT 23_24-35208	Garden City interchange	0		5990020
196-3396	BT 23_24-35208	26581530-BT 23_24-35208	Fairfield Gardens	1		1960034
66-3396	BT 23_24-35208	26581531-BT 23_24-35208	RBWH station	0		660014
60-3396	BT 23_24-35208	26581532-BT 23_24-35208	Teneriffe Ferry	0		600061
369-3396	BT 23_24-35208	26581533-BT 23_24-35208	Mitchelton station	1		3690003
369-3396	BT 23_24-35208	26581534-BT 23_24-35208	Toombul Interchange	0		3690001
222-3396	BT 23_24-35208	26581535-BT 23_24-35208	Roma Street station	0		2220003
P205-3396	BT 23_24-35208	26581536-BT 23_24-35208	"City, Queen St"	0		P2050039
320-3396	BT 23_24-35208	26581537-BT 23_24-35208	"City, Edward St"	0		3200003
470-3396	BT 23_24-35208	26581538-BT 23_24-35208	Teneriffe Ferry	0		4700008
P455-3396	BT 23_24-35208	26581539-BT 23_24-35208	"City, Eagle St Pier"	0		P4550001
345-3396	BT 23_24-35208	26581540-BT 23_24-35208	Cultural Centre station	0		3450012
196-3396	BT 23_24-35208	26581541-BT 23_24-35208	"New Farm, Mountford Rd"	0		1960035
370-3396	BT 23_24-35208	26581542-BT 23_24-35208	"City, Herschel St"	0		3700012
180-3396	BT 23_24-35208	26581543-BT 23_24-35208	Garden City interchange	1		1800003
130-3396	BT 23_24-35208	26581544-BT 23_24-35208	Queen Street station	0		1300006
140-3396	BT 23_24-35208	26581545-BT 23_24-35208	Queen Street station	0		1400017
100-3396	BT 23_24-35208	26581546-BT 23_24-35208	Queen Street station	0		1000009
335-3396	BT 23_24-35208	26581547-BT 23_24-35208	"City, Queen St"	0		3350008
111-3396	BT 23_24-35208	26581548-BT 23_24-35208	Eight Mile Plains station	1		1110007
120-3396	BT 23_24-35208	26581549-BT 23_24-35208	Queen Street station	0		1200005
60-3396	BT 23_24-35208	26581550-BT 23_24-35208	West End Ferry	1		600059
175-3396	BT 23_24-35208	26581551-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1750008
350-3396	BT 23_24-35208	26581552-BT 23_24-35208	"City, Queen St"	0		3500009
116-3396	BT 23_24-35208	26581553-BT 23_24-35208	"Fortitude Valley, Brunswick St"	0		1160027
453-3396	BT 23_24-35208	26581554-BT 23_24-35208	Queen Street station	0		4530018
150-3396	BT 23_24-35208	26581555-BT 23_24-35208	Queen Street station	0		1500016
598-3396	BT 23_24-35208	26581556-BT 23_24-35208	Chermside Interchange	1		5980011
104-3396	BT 23_24-35208	26581557-BT 23_24-35208	PA Hospital station	0		1040017
385-3396	BT 23_24-35208	26581558-BT 23_24-35208	Cultural Centre station	0		3850017
61-3396	BT 23_24-35208	26581559-BT 23_24-35208	Coorparoo Junction	0		610016
599-3396	BT 23_24-35208	26581560-BT 23_24-35208	Dean St	0		5990022
412-3396	BT 23_24-35208	26581561-BT 23_24-35208	"City, Roma St"	0		4120001
66-3396	BT 23_24-35208	26581562-BT 23_24-35208	RBWH station	0		660014
302-3396	BT 23_24-35208	26581563-BT 23_24-35208	Fison Ave	1		3020021
61-3396	BT 23_24-35208	26581564-BT 23_24-35208	Ashgrove Village	1		610018
170-3396	BT 23_24-35208	26581565-BT 23_24-35208	Queen Street station	0		1700002
180-3396	BT 23_24-35208	26581566-BT 23_24-35208	Queen Street station	0		1800002
375-3396	BT 23_24-35208	26581567-BT 23_24-35208	Bardon	0		3750013
598-3396	BT 23_24-35208	26581568-BT 23_24-35208	Chermside Interchange	1		5980014
203-3396	BT 23_24-35208	26581569-BT 23_24-35208	"Fortitude Valley, Warner St"	0		2030025
360-3396	BT 23_24-35208	26581570-BT 23_24-35208	"City, Queen St"	0		3600019
174-3396	BT 23_24-35208	26581571-BT 23_24-35208	Garden City interchange	1		1740012
310-3396	BT 23_24-35208	26581572-BT 23_24-35208	"City, Queen St"	0		3100014
444-3396	BT 23_24-35208	26581573-BT 23_24-35208	Queensland Theatre	0		4440024
185-3396	BT 23_24-35208	26581574-BT 23_24-35208	Garden City interchange	1		1850006
330-3396	BT 23_24-35208	26581575-BT 23_24-35208	Cultural Centre station	0		3300027
353-3396	BT 23_24-35208	26581576-BT 23_24-35208	Elizabeth Street Stop 87 near Edward St	0		3530042
110-3396	BT 23_24-35208	26581577-BT 23_24-35208	Queen Street station	0		1100003
329-3396	BT 23_24-35208	26581578-BT 23_24-35208	Carseldine station	0		3290005
333-3396	BT 23_24-35208	26581579-BT 23_24-35208	Chermside Interchange	1		3330020
222-3396	BT 23_24-35208	26581580-BT 23_24-35208	Carindale interchange	1		2220002
370-3396	BT 23_24-35208	26581581-BT 23_24-35208	Chermside Interchange	1		3700011
340-3396	BT 23_24-35208	26581582-BT 23_24-35208	Woolloongabba station	0		3400007
375-3396	BT 23_24-35208	26581583-BT 23_24-35208	Stafford City	1		3750011
397-3396	BT 23_24-35208	26581584-BT 23_24-35208	Ferny Grove station	1		3970004
60-3396	BT 23_24-35208	26581585-BT 23_24-35208	Teneriffe Ferry	0		600061
322-3396	BT 23_24-35208	26581586-BT 23_24-35208	Cultural Centre station	0		3220019
357-3396	BT 23_24-35208	26581587-BT 23_24-35208	"City, Queen St"	0		3570010
452-3396	BT 23_24-35208	26581588-BT 23_24-35208	Darra station	0		4520001
66-3396	BT 23_24-35208	26581589-BT 23_24-35208	RBWH station	0		660014
111-3396	BT 23_24-35208	26581590-BT 23_24-35208	Roma Street station	0		1110008
222-3396	BT 23_24-35208	26581591-BT 23_24-35208	Roma Street station	0		2220003
199-3396	BT 23_24-35208	26581592-BT 23_24-35208	"Teneriffe, Commercial Rd"	0		1990020
199-3396	BT 23_24-35208	26581593-BT 23_24-35208	West End Ferry	1		1990021
P205-3396	BT 23_24-35208	26581594-BT 23_24-35208	"City, Queen St"	0		P2050039
333-3396	BT 23_24-35208	26581595-BT 23_24-35208	Cultural Centre station	0		3330018
77-3396	BT 23_24-35208	26581596-BT 23_24-35208	"Chermside, Hamilton Rd"	0		770001
345-3396	BT 23_24-35208	26581597-BT 23_24-35208	Cultural Centre station	0		3450012
300-3396	BT 23_24-35208	26581598-BT 23_24-35208	Cultural Centre station	0		3000003
138-3396	BT 23_24-35208	26581599-BT 23_24-35208	"Riverside, Creek St"	0		1380001
454-3396	BT 23_24-35208	26581600-BT 23_24-35208	Queen Street station	0		4540007
227-3396	BT 23_24-35208	26581601-BT 23_24-35208	"City, Edward St"	0		2270003
130-3396	BT 23_24-35208	26581602-BT 23_24-35208	Queen Street station	0		1300006
P141-3396	BT 23_24-35208	26581603-BT 23_24-35208	"City, Creek St"	0		P1410006
325-3396	BT 23_24-35208	26581604-BT 23_24-35208	Boondall station	1		3250005
100-3396	BT 23_24-35208	26581605-BT 23_24-35208	Queen Street station	0		1000009
204-3396	BT 23_24-35208	26581606-BT 23_24-35208	"Fortitude Valley, Warner St"	0		2040628
174-3396	BT 23_24-35208	26581607-BT 23_24-35208	"Fortitude Valley, Warner St"	0		1740008
125-3396	BT 23_24-35208	26581608-BT 23_24-35208	Garden City interchange	1		1250019
60-3396	BT 23_24-35208	26581609-BT 23_24-35208	West End Ferry	1		600059
445-3396	BT 23_24-35208	26581610-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		4450042
200-3396	BT 23_24-35208	26581611-BT 23_24-35208	Queen Street station	0		2000004
150-3396	BT 23_24-35208	26581612-BT 23_24-35208	Queen Street station	0		1500016
61-3396	BT 23_24-35208	26581613-BT 23_24-35208	Coorparoo Junction	0		610016
196-3396	BT 23_24-35208	26581614-BT 23_24-35208	Fairfield Gardens	1		1960034
322-3396	BT 23_24-35208	26581615-BT 23_24-35208	Chermside Interchange	1		3220017
192-3396	BT 23_24-35208	26581616-BT 23_24-35208	"City, Adelaide St"	0		1920045
66-3396	BT 23_24-35208	26581617-BT 23_24-35208	RBWH station	0		660014
475-3396	BT 23_24-35208	26581618-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		4750012
61-3396	BT 23_24-35208	26581619-BT 23_24-35208	Ashgrove Village	1		610018
P137-3396	BT 23_24-35208	26581620-BT 23_24-35208	"Riverside, Creek St"	0		P1370063
380-3396	BT 23_24-35208	26581621-BT 23_24-35208	"Spring Hill, Wickham Tce"	0		3800014
372-3396	BT 23_24-35208	26581622-BT 23_24-35208	Elizabeth Street Stop 87 near Edward St	0		3720001
196-3396	BT 23_24-35208	26581623-BT 23_24-35208	"New Farm, Mountford Rd"	0		1960035
235-3396	BT 23_24-35208	26581624-BT 23_24-35208	"Fortitude Valley, Brunswick St"	0		2350018
598-3396	BT 23_24-35208	26581625-BT 23_24-35208	Garden City interchange	1		5980009
P455-3396	BT 23_24-35208	26581626-BT 23_24-35208	"City, Eagle St Pier"	0		P4550001
180-3396	BT 23_24-35208	26581627-BT 23_24-35208	Garden City interchange	1		1800003
180-3396	BT 23_24-35208	26581628-BT 23_24-35208	Queen Street station	0		1800002
125-3396	BT 23_24-35208	26581629-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1250014
112-3396	BT 23_24-35208	26581630-BT 23_24-35208	"City, Eagle St at Riverside"	0		1120004
232-3396	BT 23_24-35208	26581631-BT 23_24-35208	"City, Edward St"	0		2320007
118-3396	BT 23_24-35208	26581632-BT 23_24-35208	"Riverside, Creek St"	0		1180004
100-3396	BT 23_24-35208	26581633-BT 23_24-35208	Forest Lake Village	1		1000010
140-3396	BT 23_24-35208	26581634-BT 23_24-35208	Queen Street station	0		1400017
330-3396	BT 23_24-35208	26581635-BT 23_24-35208	Cultural Centre station	0		3300027
444-3396	BT 23_24-35208	26581636-BT 23_24-35208	Queensland Theatre	0		4440024
325-3396	BT 23_24-35208	26581637-BT 23_24-35208	"City, Queen St"	0		3250007
335-3396	BT 23_24-35208	26581638-BT 23_24-35208	"City, Queen St"	0		3350008
396-3396	BT 23_24-35208	26581639-BT 23_24-35208	Mitchelton station	0		3960003
30-3396	BT 23_24-35208	26581640-BT 23_24-35208	"City, Queen St"	1		300002
111-3396	BT 23_24-35208	26581641-BT 23_24-35208	Eight Mile Plains station	1		1110007
425-3396	BT 23_24-35208	26581642-BT 23_24-35208	Queen Street station	0		4250014
120-3396	BT 23_24-35208	26581643-BT 23_24-35208	Queen Street station	0		1200005
599-3396	BT 23_24-35208	26581644-BT 23_24-35208	Garden City interchange	0		5990023
467-3396	BT 23_24-35208	26581645-BT 23_24-35208	Mt Ommaney Shopping Centre	0		4670039
370-3396	BT 23_24-35208	26581646-BT 23_24-35208	"City, Herschel St"	0		3700012
340-3396	BT 23_24-35208	26581647-BT 23_24-35208	Woolloongabba station	0		3400007
346-3396	BT 23_24-35208	26581648-BT 23_24-35208	Elizabeth Street Stop 87 near Edward St	0		3460031
185-3396	BT 23_24-35208	26581649-BT 23_24-35208	"Fortitude Valley, Ballow St"	0		1850007
598-3396	BT 23_24-35208	26581650-BT 23_24-35208	Indooroopilly Interchange	1		5980010
