,o_lat,o_lon,frequency,Median_age_persons,Med_mort_repaymnt_monthly,Median_rent_weekly,Med_tot_hh_incom_weekly,Average_household_size,quantity_class
259,-27.49702,153.036121,148.0,29.0,1447.0,440.0,1433.0,1.7,Medium
260,-27.497226,153.036241,145.0,29.0,1447.0,440.0,1433.0,1.7,High
261,-27.46257,153.023693,81.0,33.0,1697.0,425.0,2076.0,2.1,High
262,-27.462405,153.023616,78.0,33.0,1329.0,400.0,1769.0,1.8,Low
263,-27.462119,153.02179,81.0,34.0,1630.0,355.0,1476.0,1.9,Low
264,-27.461996,153.022063,78.0,33.0,1329.0,400.0,1769.0,1.8,Low
265,-27.461784,153.020232,81.0,52.0,2167.0,600.0,2403.0,2.1,Low
266,-27.461288,153.018864,87.0,52.0,2167.0,600.0,2403.0,2.1,High
267,-27.461387,153.019606,394.0,33.0,1697.0,380.0,1671.0,1.8,Low
268,-27.462358,153.024257,64.0,31.0,1430.0,435.0,2351.0,2.3,Low
269,-27.455438,153.049819,604.0,36.0,2167.0,560.0,3039.0,1.9,Very Low
270,-27.455671,153.049993,606.0,42.0,1850.0,488.0,2340.0,1.6,High
271,-27.458773,153.049978,604.0,41.0,2730.0,540.0,2954.0,2.1,Medium
272,-27.45778,153.050108,606.0,57.0,2654.0,680.0,4449.0,2.0,High
273,-27.355946,152.975712,60.0,40.0,1863.0,455.0,2200.0,3.0,Very Low
274,-27.353191,152.976207,60.0,41.0,2102.0,463.0,1910.0,2.8,Low
275,-27.350015,152.976772,60.0,36.0,1885.0,465.0,2284.0,2.8,Low
276,-27.324353,152.987116,45.0,60.0,0.0,462.0,1062.0,1.3,Very Low
277,-27.459596,153.044127,115.0,39.0,4667.0,600.0,3562.0,2.6,High
278,-27.459417,153.043415,121.0,41.0,3133.0,490.0,2849.0,2.4,Very Low
279,-27.456849,153.043974,121.0,41.0,3133.0,490.0,2849.0,2.4,Very Low
280,-27.458191,153.045345,121.0,41.0,3133.0,490.0,2849.0,2.4,Very Low
281,-27.45789,153.04548,115.0,41.0,2730.0,540.0,2954.0,2.1,Medium
282,-27.456507,153.043941,115.0,38.0,2167.0,420.0,2141.0,1.9,Medium
283,-27.458122,153.041548,115.0,35.0,2546.0,370.0,1312.0,2.0,High
284,-27.572177,153.019109,44.0,32.0,1343.0,365.0,1620.0,2.6,Very Low
285,-27.572074,153.019154,44.0,55.0,1282.0,150.0,3624.0,1.5,Low
286,-27.4666,153.046597,604.0,33.0,1733.0,350.0,1542.0,1.8,High
287,-27.465197,153.047968,604.0,33.0,1733.0,350.0,1542.0,1.8,Medium
288,-27.465318,153.048038,609.0,35.0,2000.0,428.0,2067.0,1.8,High
289,-27.466971,153.046418,609.0,33.0,1733.0,350.0,1542.0,1.8,High
290,-27.467366,153.046305,523.0,32.0,2037.0,376.0,1843.0,2.0,High
291,-27.465795,153.044254,633.0,46.0,1733.0,405.0,1670.0,1.8,High
292,-27.465953,153.044681,628.0,39.0,2850.0,320.0,1843.0,2.0,Medium
293,-27.464762,153.042912,633.0,33.0,3000.0,400.0,2297.0,2.1,High
294,-27.463592,153.041428,1129.0,36.0,2084.0,368.0,1862.0,1.8,High
295,-27.461776,153.039095,1129.0,37.0,1705.0,425.0,1863.0,1.9,High
296,-27.460544,153.037533,1129.0,39.0,1950.0,448.0,2223.0,1.7,High
297,-27.459743,153.036726,1143.0,31.0,1455.0,460.0,2102.0,1.8,High
298,-27.461257,153.038654,1143.0,35.0,2546.0,370.0,1312.0,2.0,High
299,-27.462401,153.040113,1143.0,36.0,2383.0,423.0,2158.0,1.8,High
300,-27.463855,153.041983,1143.0,36.0,2084.0,368.0,1862.0,1.8,High
301,-27.465204,153.042046,515.0,46.0,1733.0,405.0,1670.0,1.8,Medium
302,-27.466771,153.041111,515.0,37.0,1556.0,380.0,1420.0,1.6,Medium
303,-27.466399,153.040864,496.0,37.0,2000.0,420.0,2178.0,1.5,High
304,-27.46497,153.042122,496.0,36.0,2084.0,368.0,1862.0,1.8,High
305,-27.461028,153.045975,3.0,39.0,4667.0,600.0,3562.0,2.6,Very Low
306,-27.351379,152.964776,75.0,82.0,660.0,160.0,596.0,1.2,Low
