,stop_id,frequency
1438,3159,56
1439,1000,56
1440,10401,56
1441,3153,56
1442,1980,56
1443,12107,56
1444,5587,56
1445,5599,56
1446,10129,56
1447,3151,56
1448,5497,56
1449,3303,56
1450,4205,56
1451,5416,56
1452,4204,56
1453,10070,56
1454,10612,56
1455,10611,56
1456,10610,56
1457,10072,56
1458,10073,56
1459,10074,56
1460,4207,56
1461,5381,56
1462,5379,56
1463,5376,56
1464,5370,56
1465,10093,56
1466,12041,56
1467,12042,56
1468,10127,56
1469,12043,56
1470,10609,56
1471,3270,56
1472,5380,56
1473,4209,56
1474,5427,56
1475,10128,56
1476,2673,56
1477,13184,56
1478,5496,56
1479,5495,56
1480,5494,56
1481,5493,56
1482,5492,56
1483,5491,56
1484,5490,56
1485,5489,56
1486,5488,56
1487,5487,56
1488,10619,56
1489,3301,56
1490,5475,56
1491,5474,56
1492,5473,56
1493,5472,56
1494,5471,56
1495,10617,56
1496,10616,56
1497,10615,56
1498,3299,56
1499,3318,56
1500,10052,56
1501,3155,56
1502,1231,56
1503,1545,56
1504,1570,56
1505,1559,56
1506,11334,56
1507,4363,56
1508,4364,56
1509,4367,56
1510,5714,56
1511,4378,56
1512,4368,56
1513,5713,56
1514,1562,56
1515,4371,56
1516,4376,56
1517,1564,56
1518,1581,56
1519,1579,56
1520,1567,56
1521,1577,56
1522,1568,56
1523,1576,56
1524,4375,56
1525,4372,56
1526,1569,56
1527,1575,56
1528,1574,56
1529,1573,56
1530,1543,56
1531,13183,56
1532,1572,56
1533,4360,56
1534,1635,56
1535,4342,56
1536,4343,56
1537,4341,56
1538,3526,56
1539,4340,56
1540,10005,56
1541,10131,56
1542,4345,56
1543,4346,56
1544,10714,56
1545,4344,56
1546,13178,56
1547,4359,56
1548,10623,56
1549,4357,56
1550,4905,57
1551,10589,57
1552,4895,57
1553,14096,57
1554,10011,57
1555,3336,57
1556,10753,57
1557,10754,57
1558,10758,57
1559,2646,57
1560,10696,57
1561,4907,57
1562,10749,57
1563,10297,57
1564,10724,57
1565,10750,57
1566,2274,57
1567,10759,57
1568,10296,57
1569,4904,57
1570,10751,57
1571,1640,57
1572,1705,57
1573,1708,57
1574,10477,57
1575,1715,57
1576,10484,57
1577,4831,57
1578,3344,57
1579,4830,57
1580,10459,57
1581,10478,57
1582,186,57
1583,4832,57
1584,89,57
1585,1710,57
1586,6222,58
1587,6268,58
1588,6271,58
1589,4437,58
1590,10313,58
1591,6257,58
1592,2588,58
1593,2587,58
1594,12027,58
1595,10187,58
1596,5083,58
1597,3994,58
1598,5081,58
1599,4440,58
1600,6028,58
1601,10139,58
1602,12029,58
1603,2650,58
1604,6031,58
1605,4428,58
1606,2551,58
1607,4438,58
1608,2586,58
1609,2492,58
1610,2780,59
1611,2781,59
1612,2774,59
1613,2778,59
1614,2777,59
1615,2776,59
1616,2775,59
1617,2773,59
1618,2772,59
1619,2770,59
1620,2769,59
1621,2768,59
1622,2766,59
1623,2765,59
1624,2764,59
1625,2763,59
1626,2779,59
1627,2782,59
1628,3696,59
1629,2784,59
1630,4566,59
1631,4578,59
1632,4564,59
1633,2840,59
1634,4560,59
1635,926,59
1636,2842,59
1637,2816,59
1638,2815,59
1639,2814,59
1640,2813,59
1641,2812,59
1642,2811,59
1643,2844,59
1644,2845,59
1645,19909,59
1646,10083,59
1647,8017,59
1648,4558,59
1649,4338,59
1650,2752,59
1651,2847,59
1652,4577,59
1653,2783,59
1654,2750,59
1655,4349,59
1656,2746,59
1657,1537,59
1658,1542,59
1659,2866,59
1660,3129,59
1661,794,59
1662,2851,59
1663,6481,59
1664,11299,59
1665,2868,59
1666,10050,59
1667,2870,59
1668,2876,59
1669,11292,59
1670,2878,59
1671,6468,59
1672,4700,59
1673,792,59
1674,2685,59
1675,4570,59
1676,757,59
1677,4574,59
1678,773,59
1679,10385,59
1680,5430,59
1681,5431,59
1682,5432,59
1683,4568,59
1684,5441,59
1685,2867,59
1686,775,59
1687,5442,59
1688,2852,60
1689,10460,60
1690,2841,60
1691,14054,60
1692,927,60
1693,2879,60
1694,14055,60
1695,2848,60
1696,10465,60
1697,2839,60
1698,14061,60
1699,12033,60
1700,3035,60
1701,10517,60
1702,10518,60
1703,12045,60
1704,10529,60
1705,14053,60
1706,2877,60
1707,14052,60
1708,2865,60
1709,2864,60
1710,12026,60
1711,13064,60
1712,12037,60
1713,13066,60
1714,12040,60
1715,5224,60
1716,2846,60
1717,2863,60
1718,767,60
1719,928,60
1720,2869,60
1721,12038,60
1722,2843,60
1723,759,60
1724,2875,60
1725,12039,60
1726,10288,60
1727,10464,60
1728,6148,60
1729,2264,60
1730,4064,60
1731,13181,60
1732,13180,60
1733,2215,60
1734,11406,60
1735,2254,60
1736,2256,60
1737,2257,60
1738,6064,60
1739,6065,60
1740,2260,60
